覆核狀態,SI代碼,SI名稱,開始受理贖回日,固定配息率,固定配息期間,浮動配息率,幣轉,連結標的,CNR分配率,銀行收益率,計績檔次,股債類型,保本率,最低申購金額,申購單位金額
覆核中,14WMSD0702,倍數得利２９一年人民幣匯率型,"=""""",,"=""""",4,,USDCNH Curncy,,,,,,,
覆核中,14WMSD0703,澳利雙匯２十年澳幣匯率型,"=""""",,"=""""",4.35,,EURUSD Curncy;AUDUSD Curncy,,,,,,,
覆核中,14WMSD0705,美利雙匯５十年美金匯率型,"=""""",,"=""""",5,,EURUSD Curncy;AUDUSD Curncy,,,,,,,
覆核中,14WMSD0707,倍數得利３１二年人民幣匯率型,"=""""",,"=""""",5,,USDCNH Curncy,,,,,,,
覆核中,14WMSD0708,倍數得利３１二年人民幣匯率型,"=""""",,"=""""",5,,USDCNH Curncy,,,,,,,
覆核中,14WMSD0711,雙匯出擊１１十年美金匯率型,"=""""",,"=""""",4,Y,EURUSD Curncy;USDZAR Curncy,,,,,,,
覆核中,14WMSD0712,雙匯出擊１０十年美金匯率型,"=""""",,"=""""",4,Y,EURUSD Curncy;USDZAR Curncy,,,,,,,
覆核中,14WMSD0713,雙匯出擊１２十年美金匯率型,"=""""",,"=""""",5,Y,EURUSD Curncy;USDZAR Curncy,,,,,,,
覆核中,14WMSD0714,美利雙匯６十年美金匯率型,"=""""",,"=""""",5,,EURUSD Curncy;AUDUSD Curncy,,,,,,,
覆核中,14WMSD0801,澳利雙匯３十年澳幣匯率型,"=""""",,"=""""",0.1,,EURUSD Curncy;AUDUSD Curncy,,,,,,,
覆核中,14WMSD0803,倍數得利３２二年人民幣匯率型,"=""""",,"=""""",3.6,,USDCNH Curncy,,,,,,,
覆核中,14WMSD0804,倍數得利３２兩年人民幣匯率型,"=""""",,"=""""",3.2,,USDCNH Curncy,,,,,,,
覆核中,14WMSD0805,美利雙匯７十年美金匯率型,"=""""",,"=""""",3.6,,EURUSD Curncy;AUDUSD Curncy,,,,,,,
覆核中,14WMSD0811,雙匯出擊１５十年美金匯率型,"=""""",,"=""""",3.8,Y,EURUSD Curncy;USDZAR Curncy,,,,,,,
覆核中,14WMSD0812,雙匯出擊１３十年美金匯率型,"=""""",,"=""""",3.3,Y,EURUSD Curncy;USDZAR Curncy,,,,,,,
覆核中,14WMSD0813,雙匯出擊１４十年美金匯率型,"=""""",,"=""""",3.6,Y,EURUSD Curncy;USDZAR Curncy,,,,,,,
覆核中,14WMSD0814,倍數得利３３一年人民幣匯率型,"=""""",,"=""""",3.6,,USDCNH Curncy,,,,,,,
覆核中,14WMSD0815,雙匯出擊１６十年美金匯率型,"=""""",,"=""""",3.55,Y,EURUSD Curncy;USDZAR Curncy,,,,,,,
覆核中,14WMSD0817,黃金雙贏１０一年澳幣股權型,"=""""",,"=""""",3.6,,GDX US Equity,,,,,,,
覆核中,14WMSD0818,黃金雙贏１０一年澳幣股權型,"=""""",,"=""""",4,,GDX US Equity,,,,,,,
覆核中,14WMSD0819,澳利雙匯５十年澳幣匯率型,"=""""",,"=""""",6,,EURUSD Curncy;AUDUSD Curncy,,,,,,,
覆核中,14WMSD0903,倍數得利３４兩年人民幣匯率型,"=""""",,"=""""",6,,USDCNH Curncy,,,,,,,
覆核中,14WMSD0905,美利雙匯８十年美金匯率型,"=""""",,"=""""",6,,EURUSD Curncy;AUDUSD Curncy,,,,,,,
覆核中,14WMSD0907,澳利雙匯６十年澳幣匯率型,"=""""",,"=""""",0.01,,EURUSD Curncy;AUDUSD Curncy,,,,,,,
覆核中,14WMSD0908,澳利雙匯６十年澳幣匯率型,"=""""",,"=""""",0.01,,EURUSD Curncy;AUDUSD Curncy,,,,,,,
覆核中,14WMSD0911,雙匯出擊１８十年美金匯率型,"=""""",,"=""""",6,Y,EURUSD Curncy;USDZAR Curncy,,,,,,,
